Title,Creator,Editors,Subject-Genre,Type-Genre,William's Genres,Year Made,Year Update,Pages,Finished Reading,Days Spent Reading,Pages per Day,Publisher,Difficulty,Rereadability,"Note: For now, I will only start documenting when I started using the YYYY-MM-DD format in my ""Books Read All Time List"""
Stalin: Volume II. Waiting for Hitler,Stephen Kotkin,,History,Narrative,History,2017,,1184,2022-02-08,20,59,Penguin,3,1,"Note: For now, all pages Days Spent Reading do not reflect reading time, but rather the days in between finishing the last book and the next one. This is to get an average picture of reading in total during the year "
Facts on Communism: Volume I.,"Committee on Un American Activities. House of Representatives. 86 Congress, First Session. ",,Government,Report,History,1959,,300,2022-02-19,11,27,Government Publication Office,3,1,"Note: In the future, I will make sure to note reading time more carefully on the master list. "
Facts on Communism: Volume II. ,Committee on Un American Activities. House of Representatives. 86 Congress. First Session. ,,Government,Report,History,1960,,300,2022-02-19,11,27,Government Publication Office,3,1,Note: The current Days Spent Reading system also means that books read concurrently will have one book with a longer time frame and the second one with a much shorter time frame
Perscriptions on Saving China: Selected Writings of Sun Yat Sen,,"Wei, Meyers, Gillin",History,Essay,History,1994,,300,2022-03-19,30,10,Hoover Institute,3,1,
Latin America View of US Policy,"Robert Wesson, Heraldo Munoz",,History,Essay,History,1986,,200,2022-04-06,15,13,Hoover Institute,3,1,
How to Read Donald Duck: Imperialist Ideology in the Disney Comic,"Ariel Dorfman, Armand Mattelart",,Social-History,Essay,History,1971,,150,2022-04-10,4,38,,1,1,
Bargaining for Advantage: Negotiation Strategies for Reasonable People,G Richard Shell,,Skills,Handbook,Skills,1999,2018,304,2022-04-16,6,51,Penguin,1,3,
A Concise History of Russia,Paul Bushkovitch,,History,Narrative,History,2012,,518,2022-04-22,6,86,Cambridge University Press,1,1,
North and South,Elizabeth Gaskell,,Romance,Novel,Fiction,1854,2005,300,2022-04-26,4,75,Norton Critical Editions,2,3,
Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Noble,,Society,Essay,What is to be done?,2018,,245,2022-05-02,6,41,New York University,1,1,
America's Infrastructure,various,,Society,Essay,What is to be done?,2019,,124,2022-05-05,3,41,Greenhaven,1,1,
